query,id,published,likes,replies,content,author_title,author_image,author_channel,author_is_verified,author_is_creator,author_is_artist
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgxCwdR3P3JQMmQ049R4AaABAg,3 weeks ago,1,,"Celebrating over 75 years of production in Zuffenhausen, the plant remains the beating heart of Porsche, symbolizing a legacy that combines automotive excellence with relentless innovation.",@THEMAKINGG,https://yt3.ggpht.com/i_Lw66qM-ZIsdrbkxgyEko-m1eGtlEO0FkEvePkjF4-OdKetiLfjc292O3VDXt66G_JZguLpjA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCz7PXIiUtLSqC8fKaJlUxcA,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,Ugza36DaC6KBi-RnCHF4AaABAg,2 months ago,4,1,You won't see UAW guys at the Ford plant putting in this kind of effort.,@danielsmith7023,https://yt3.ggpht.com/ytc/AIdro_knkIcImFc6jLBzVzUgccoxPB2NVVJICNcQCW2DKPo=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCZObGfPgG2H8-7G_PjnDcTg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgxMwUoGD8d41RKBfyt4AaABAg,2 weeks ago,1,,One of my dream car??,@walu2446,https://yt3.ggpht.com/ytc/AIdro_mrjO9OGCV3s4KL5FAO-JkZCuMMdHk-I8doHCLmp6C9osfz_JqGDDAT1lwVBwdRzZ35_w=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCIFITxwhPaY3F2KjSZfx2fQ,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,Ugzn39YknKJxHWr80w54AaABAg,13 days ago,1,,Fantastic,@alexgonzales7505,https://yt3.ggpht.com/ytc/AIdro_nh6ZhWQJ2pXp6ICZazqBx0EfYPTRwxUD-_P4KziOVxB4A=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCPPaItpxs3s6qnaSMs7iASA,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgxXuGgR8B_TvNN-oo94AaABAg,3 months ago,6,,no durka durka or Sha'mika types.. looks like a pleasant and calm working environment.,@danger_ointment,https://yt3.ggpht.com/ytc/AIdro_kUSqB9_0cB2Xfe_iVPBhI9OS8Uah1pHjKRdzYH99xrZWzqtEzY1q1LlszdYWYsWdNFaA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCcrvYQzvgR-asb1LgJWdpgw,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgwpQltC1UBEJUjWDJR4AaABAg,3 months ago,1,,Beautiful! Someday 911 s,@courtlandacklin1985,https://yt3.ggpht.com/amOmswJ58On8JGcbBgmfXddyApT160fW_J3PU6YsrHrwHkGF10w-3iNN4-6cAxYNYW1Ekz_XDg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCk8ptNGPy3N6HMOj3W7GAeg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgxS1NwpZ_JNpMMXjlp4AaABAg,1 month ago,1,,Amazing ??,@prashanthshera6745,https://yt3.ggpht.com/ytc/AIdro_nIKmikWMeTqPmeaFAA8SpjMDeruiWEAm1IWnajX_nl1JaxFV0JFLK_6jKqCmQr57HqKQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCRAif1yMMI99UdlSLTh-xqw,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,Ugx-A1m38emqKI4TItB4AaABAg,5 months ago,2,,??? ???? ?????? ????????,@Ksamotorsopc,https://yt3.ggpht.com/QWLhuIXfRr5VvL-q6LwEl7n-EPEjFOHVw-tMmF8zSotE6K30JF8vPPxYyHaSbOp4m2d2Scpw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCaRPspLBkufJVt3UhTtSNdw,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgxoLD6h5i2ZLUqRcTl4AaABAg,2 months ago,1,,The beautiful car.,@NurulIslam-ro2ke,https://yt3.ggpht.com/ytc/AIdro_nqG5kNb9WDoM5cFrNSQr9fzliieK8lWbCqB52t7OKShdvcGjZ-DNkPlowQu3IE1MHYgQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCl8g4hp8H8SyOkdnlavcf0A,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=9_fs7YTqj9k,UgyIJxjqs9PdXgPK7jh4AaABAg,2 months ago (edited),1,1,I don�t like the fact that the exhaust shape is attached to the bumber giving the effect of a big exhaust but it�s a charade. I know this is not just Porsche but world wide .,@stevebrayne2609,https://yt3.ggpht.com/ytc/AIdro_k1ZxEaTzmp2O_9rC8APqSqSKEmvZn9Su8XAv3Yh0E=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCdEby8BzGf2kRCoYQeOMCfQ,FALSE,FALSE,FALSE
